,clust,correct,position,list_num,subj,sess,serial_pos,hfa_short,hfa_long,ripple_exists_short,ripple_avg_short,ripple_exists_long,ripple_avg_long
36,1.0,1.0,"[1, 2, 3, 4, 11, 12]",5,R1024E,R1024E-0,11,-2.018504792536118,-2.1893064296354874,0.0,0.0,0.0,0.0
37,0.0,1.0,"[1, 2, 3, 4, 11, 12]",5,R1024E,R1024E-0,12,-0.36856138136768796,-0.48895912351626614,0.0,0.0,0.0,0.0
38,1.0,1.0,"[3, 4, 12, 11]",6,R1024E,R1024E-0,3,2.2330267981076237,1.915626133985222,0.0,0.0,0.0,0.0
39,0.0,2.0,"[3, 4, 12, 11]",6,R1024E,R1024E-0,4,0.22467697459975525,0.9393887236770613,0.0,0.0,1.0,1.0
40,0.0,1.0,"[3, 4, 12, 11]",6,R1024E,R1024E-0,11,-2.7977443021582054,-2.2572493761140313,0.0,0.0,0.0,0.0
41,1.0,2.0,"[3, 4, 12, 11]",6,R1024E,R1024E-0,12,2.5501895087971373,1.5971711556584598,1.0,1.0,1.0,1.0
42,1.0,1.0,"[11, 3, 12, 1, 7, 8, -999]",7,R1024E,R1024E-0,1,-0.6195647922034122,-0.9860138222490719,0.0,0.0,0.0,0.0
43,1.0,2.0,"[11, 3, 12, 1, 7, 8, -999]",7,R1024E,R1024E-0,3,1.1870663092232796,1.31147555584105,0.0,0.0,0.0,0.0
44,1.0,1.0,"[11, 3, 12, 1, 7, 8, -999]",7,R1024E,R1024E-0,7,-1.3576713494374413,-2.5349779824323195,1.0,1.0,1.0,1.0
45,1.0,1.0,"[11, 3, 12, 1, 7, 8, -999]",7,R1024E,R1024E-0,11,-1.04391379943072,-0.31624431379650714,0.0,0.0,0.0,0.0
46,0.0,2.0,"[11, 3, 12, 1, 7, 8, -999]",7,R1024E,R1024E-0,12,1.2096827580584728,-0.029866925364111018,0.0,0.0,0.0,0.0
47,0.0,1.0,"[6, 9, 10, 8, 7, 5, 2]",8,R1024E,R1024E-0,2,0.5362356106989108,0.36979305466019446,0.0,0.0,0.0,0.0
48,0.0,1.0,"[6, 9, 10, 8, 7, 5, 2]",8,R1024E,R1024E-0,5,0.03126099733320414,-1.260888659639405,0.0,0.0,0.0,0.0
49,1.0,1.0,"[6, 9, 10, 8, 7, 5, 2]",8,R1024E,R1024E-0,6,-2.640731714103773,-2.073871488116186,0.0,0.0,0.0,0.0
50,0.0,1.0,"[6, 9, 10, 8, 7, 5, 2]",8,R1024E,R1024E-0,7,0.5339795524768906,-0.591062477220565,0.0,0.0,0.0,0.0
51,1.0,1.0,"[6, 9, 10, 8, 7, 5, 2]",8,R1024E,R1024E-0,8,-0.06530961641234703,0.5289731131351031,0.0,0.0,0.0,0.0
52,1.0,2.0,"[6, 9, 10, 8, 7, 5, 2]",8,R1024E,R1024E-0,9,0.1553644939636837,0.7153732720260236,0.0,0.0,1.0,1.0
53,0.0,2.0,"[6, 9, 10, 8, 7, 5, 2]",8,R1024E,R1024E-0,10,-2.597035644330333,-1.6946271951177116,0.0,0.0,0.0,0.0
54,1.0,1.0,"[1, 7, -999, 4, 3]",9,R1024E,R1024E-0,1,-1.422412623542429,-0.2766861867539953,0.0,0.0,1.0,1.0
55,0.0,1.0,"[1, 7, -999, 4, 3]",9,R1024E,R1024E-0,3,-1.8378035830966144,-1.605466001339207,0.0,0.0,0.0,0.0
56,1.0,1.0,"[1, 7, -999, 4, 3]",9,R1024E,R1024E-0,4,-0.3934308275485581,-0.0873639901631448,0.0,0.0,0.0,0.0
57,1.0,1.0,"[1, 2, 8, 7, 6, -999, 5, 9]",10,R1024E,R1024E-0,1,-0.2535364647632413,-1.035680753457577,0.0,0.0,1.0,1.0
58,1.0,2.0,"[1, 2, 8, 7, 6, -999, 5, 9]",10,R1024E,R1024E-0,2,2.1164746791694014,2.2921007909886133,1.0,1.0,1.0,1.0
59,1.0,1.0,"[1, 2, 8, 7, 6, -999, 5, 9]",10,R1024E,R1024E-0,5,1.4244654167105668,0.15319568510130352,1.0,1.0,1.0,1.0
60,1.0,2.0,"[1, 2, 8, 7, 6, -999, 5, 9]",10,R1024E,R1024E-0,8,-0.4697408868689094,1.2055557616455286,0.0,0.0,1.0,1.0
61,0.0,1.0,"[1, 2, 8, 7, 6, -999, 5, 9]",10,R1024E,R1024E-0,9,-2.9740983525008944,-2.850266232432273,0.0,0.0,0.0,0.0
62,1.0,1.0,"[1, 2, 10, 9, 3, 4]",11,R1024E,R1024E-0,1,-3.3988158744275245,-2.483759296773767,0.0,0.0,0.0,0.0
63,1.0,2.0,"[1, 2, 10, 9, 3, 4]",11,R1024E,R1024E-0,2,-0.32065326374865016,-0.3377664010934542,0.0,0.0,0.0,0.0
64,1.0,2.0,"[1, 2, 10, 9, 3, 4]",11,R1024E,R1024E-0,3,1.5376314030459621,-0.01305430574179094,1.0,1.0,1.0,1.0
65,0.0,2.0,"[1, 2, 10, 9, 3, 4]",11,R1024E,R1024E-0,4,0.2055017561717405,-0.5460721216133784,1.0,1.0,1.0,1.0
66,0.0,2.0,"[1, 2, 10, 9, 3, 4]",11,R1024E,R1024E-0,9,-1.4625109296419123,-0.24765089961894607,0.0,0.0,0.0,0.0
67,1.0,1.0,"[1, 2, 10, 9, 3, 4]",11,R1024E,R1024E-0,10,0.08480852154387392,-1.5759197061042767,0.0,0.0,0.0,0.0
68,0.0,1.0,"[3, 4, 1, 12, -999, 6]",12,R1024E,R1024E-0,1,1.3427060467960472,2.061793900425225,1.0,1.0,1.0,1.0
69,1.0,1.0,"[3, 4, 1, 12, -999, 6]",12,R1024E,R1024E-0,3,2.205345717077734,2.052493125644591,1.0,1.0,1.0,1.0
70,0.0,2.0,"[3, 4, 1, 12, -999, 6]",12,R1024E,R1024E-0,4,0.2928977669443233,0.24626783520380688,0.0,0.0,1.0,1.0
71,0.0,1.0,"[3, 4, 1, 12, -999, 6]",12,R1024E,R1024E-0,6,0.41503337730357404,0.6463120791267621,0.0,0.0,0.0,0.0
72,0.0,2.0,"[3, 8, 4, 5, 9, 2, 1]",14,R1024E,R1024E-0,1,0.6977471284647625,-0.8252423988888407,0.0,0.0,0.0,0.0
73,1.0,1.0,"[3, 8, 4, 5, 9, 2, 1]",14,R1024E,R1024E-0,2,1.5536059559400122,1.345821495991734,0.0,0.0,0.0,0.0
74,1.0,1.0,"[3, 8, 4, 5, 9, 2, 1]",14,R1024E,R1024E-0,3,-1.586637486573261,-0.9816156258354851,0.0,0.0,0.0,0.0
75,0.0,1.0,"[3, 8, 4, 5, 9, 2, 1]",14,R1024E,R1024E-0,5,-2.317802707905717,-1.159547824358976,0.0,0.0,0.0,0.0
76,1.0,2.0,"[3, 8, 4, 5, 9, 2, 1]",14,R1024E,R1024E-0,8,-0.3249122669221801,-1.1615554750121713,1.0,1.0,1.0,1.0
77,1.0,1.0,"[3, 8, 4, 5, 9, 2, 1]",14,R1024E,R1024E-0,9,-1.9203072861764436,-1.2277389350212196,0.0,0.0,0.0,0.0
78,1.0,1.0,"[1, 2, 3, 12, 7, 8, 5, 6]",15,R1024E,R1024E-0,1,0.521733131859152,0.45693137189552335,0.0,0.0,0.0,0.0
79,1.0,2.0,"[1, 2, 3, 12, 7, 8, 5, 6]",15,R1024E,R1024E-0,3,2.0505875934793614,0.6957780157740362,0.0,0.0,0.0,0.0
80,1.0,1.0,"[1, 2, 3, 12, 7, 8, 5, 6]",15,R1024E,R1024E-0,5,-0.37046746008672626,0.21992927448512,0.0,0.0,0.0,0.0
81,0.0,2.0,"[1, 2, 3, 12, 7, 8, 5, 6]",15,R1024E,R1024E-0,6,-1.426136665544082,-0.26863691504404885,0.0,0.0,0.0,0.0
82,1.0,1.0,"[1, 2, 3, 12, 7, 8, 5, 6]",15,R1024E,R1024E-0,7,-0.9838546822617084,0.7754220655999553,0.0,0.0,0.0,0.0
83,0.0,2.0,"[1, 2, 3, 12, 7, 8, 5, 6]",15,R1024E,R1024E-0,8,-1.3856020110778333,-0.5248985405842547,0.0,0.0,1.0,1.0
84,0.0,2.0,"[1, 2, 3, 12, 7, 8, 5, 6]",15,R1024E,R1024E-0,12,-0.8809053815848977,-1.465597237719464,0.0,0.0,0.0,0.0
85,1.0,1.0,"[1, 8, 2, 5, 10, 11, 12, 3]",16,R1024E,R1024E-0,1,-2.8742271651808826,-1.3323863490135612,0.0,0.0,0.0,0.0
86,0.0,2.0,"[1, 8, 2, 5, 10, 11, 12, 3]",16,R1024E,R1024E-0,2,-0.9730368558509338,-1.183678199147303,0.0,0.0,0.0,0.0
87,0.0,1.0,"[1, 8, 2, 5, 10, 11, 12, 3]",16,R1024E,R1024E-0,3,0.48477654737919595,-0.7765629426138172,0.0,0.0,0.0,0.0
88,1.0,1.0,"[1, 8, 2, 5, 10, 11, 12, 3]",16,R1024E,R1024E-0,5,-3.4017023351932707,-1.830982733713516,0.0,0.0,0.0,0.0
89,1.0,2.0,"[1, 8, 2, 5, 10, 11, 12, 3]",16,R1024E,R1024E-0,8,-2.444549468168954,-1.4370566755770657,0.0,0.0,1.0,1.0
